le_gender,le_color1,le_color2,le_breed1,le_breed2,le_intake_type,le_intake_condition,le_intake_sex,le_outcome_type,le_outcome_sex,le_outcome_d_m,le_intake_d_m,Outcome_Age_Month,Duration_Day
1,2,33,217,136,2,5,1,5,1,1,1,136,10.525694444444444
0,18,36,218,106,2,5,2,5,2,3,3,142,7.008333333333334
0,26,36,113,106,3,0,2,5,2,11,11,195,2.4763888888888888
0,32,36,218,106,2,5,2,5,2,10,10,158,2.6090277777777784
1,2,10,174,106,0,0,1,1,1,9,9,140,7.004861111111111
1,32,36,217,166,3,3,1,5,1,7,7,172,0.9048611111111112
0,2,36,217,17,3,5,2,7,2,10,10,142,3.143055555555556
1,13,33,274,166,3,5,1,5,1,6,6,165,0.9958333333333332
0,32,33,191,166,3,5,2,5,2,7,7,149,0.6951388888888889
1,6,36,28,51,1,5,1,0,1,4,0,117,28.16666666666667
1,33,36,37,106,1,5,1,0,1,11,11,136,9.204166666666667
1,33,36,37,106,1,5,1,5,1,11,11,136,1.1527777777777777
0,34,36,217,120,3,5,2,5,2,3,3,126,1.0131944444444445
0,2,33,64,166,3,5,2,5,2,0,0,181,1.2104166666666667
1,26,36,124,166,1,5,1,7,1,5,5,145,3.0701388888888888
1,2,33,188,106,3,5,1,5,1,5,5,143,0.18263888888888888
1,12,33,275,106,2,5,1,5,1,4,4,138,6.276388888888889
1,12,1,173,166,3,5,1,3,1,11,11,157,0.9791666666666666
0,26,36,29,106,3,5,0,5,0,2,2,176,7.777083333333334
1,19,33,224,166,2,5,1,7,1,6,5,151,20.990972222222226
1,12,33,95,106,3,5,1,5,1,2,2,146,0.7604166666666666
1,12,33,261,106,1,5,1,7,1,5,5,146,11.252083333333333
1,12,33,261,106,3,5,1,5,1,6,6,147,0.275
0,2,36,218,106,1,9,2,0,2,0,0,153,348.92847222222224
0,32,33,173,97,2,5,2,5,2,8,8,119,6.704861111111112
1,8,33,98,97,3,5,1,5,1,5,5,124,0.06597222222222222
1,8,33,98,97,3,5,1,5,1,2,2,132,0.7611111111111111
1,2,30,217,4,3,5,1,5,1,11,11,134,0.07430555555555557
1,2,33,218,106,1,5,1,7,1,10,10,120,4.1625
0,2,33,65,106,3,0,2,5,2,0,0,195,0.03819444444444445
1,12,1,174,106,1,9,1,3,1,11,11,139,0.1673611111111111
0,12,33,107,106,1,5,2,0,2,11,11,192,1.8951388888888892
1,2,30,174,106,3,5,1,0,1,2,1,121,15.739583333333336
0,35,36,111,106,3,0,2,5,2,4,4,163,0.2263888888888889
0,13,33,68,166,3,5,2,7,2,8,8,127,5.105555555555554
1,18,36,238,47,3,5,1,5,1,8,8,148,0.10347222222222223
0,32,36,107,106,3,5,2,5,2,2,2,120,4.927083333333333
1,2,33,87,106,3,5,1,5,1,10,10,165,0.13194444444444445
1,2,10,173,29,3,5,1,5,1,7,7,131,0.13194444444444445
0,34,1,261,106,3,5,2,5,2,8,8,168,0.05069444444444445
0,26,1,218,106,1,5,2,0,2,6,5,114,19.065277777777773
1,34,22,175,166,3,0,1,5,1,8,8,161,1.0659722222222223
0,12,36,275,106,3,5,2,5,2,4,4,133,0.1868055555555556
0,26,36,113,106,3,5,2,5,2,9,9,168,0.2576388888888889
0,34,10,25,106,3,5,2,5,2,1,1,164,0.8763888888888889
1,2,10,174,106,1,5,0,0,1,6,3,116,131.85833333333332
0,33,36,107,106,0,0,0,3,0,10,10,126,0.04722222222222222
0,32,36,360,106,3,5,2,5,2,9,9,125,2.3895833333333334
0,2,36,218,106,1,5,2,0,2,1,11,188,16.20486111111111
1,2,36,274,166,3,5,0,5,0,1,1,128,2.049305555555556
0,34,36,14,166,2,5,2,5,2,4,4,132,10.997916666666667
1,26,36,218,106,0,5,1,3,1,4,4,110,2.0729166666666665
0,2,33,218,106,3,5,2,0,2,4,10,158,201.59791666666663
0,26,36,275,106,0,5,2,3,2,0,0,155,0.8125
0,12,33,218,106,3,5,2,5,2,10,10,168,0.21180555555555555
1,34,17,238,39,3,5,1,6,1,8,8,159,5.0625
1,34,17,238,39,3,9,1,7,1,9,9,160,9.203472222222222
1,32,33,267,106,1,5,0,7,0,5,5,138,3.0222222222222217
0,12,33,310,106,3,5,2,5,2,2,2,121,0.11597222222222225
